profile,split,attempted,exact_success_rate,average_reward
root,1,60,0.3,0.7566666666666667
root,2,53,0.4528301886792453,0.8081132075471699
root,3,60,0.5,0.8431666666666667
root,4,27,0.4074074074074074,0.842962962962963
strict,1,60,0.25,0.7178333333333333
strict,2,53,0.24528301886792453,0.6624528301886793
strict,3,60,0.38333333333333336,0.7713333333333333
strict,4,27,0.4074074074074074,0.8385185185185186
