profile,split,attempted,exact_success_rate,average_reward
root,1,60,0.3,0.748
root,2,53,0.4528301886792453,0.7939622641509434
root,3,60,0.4166666666666667,0.8130000000000001
root,4,27,0.37037037037037035,0.8374074074074074
strict,1,60,0.26666666666666666,0.7225
strict,2,53,0.2641509433962264,0.6756603773584906
strict,3,60,0.31666666666666665,0.7601666666666667
strict,4,27,0.3333333333333333,0.822962962962963
