profile,split,attempted,exact_success_rate,average_reward
root,1,60,0.3,0.7471666666666666
root,2,53,0.4528301886792453,0.809811320754717
root,3,60,0.43333333333333335,0.8195
root,4,27,0.4444444444444444,0.8507407407407408
strict,1,60,0.2833333333333333,0.7275
strict,2,53,0.2641509433962264,0.6758490566037736
strict,3,60,0.31666666666666665,0.7565000000000001
strict,4,27,0.4074074074074074,0.837037037037037
