profile,split,attempted,exact_success_rate,average_reward
root,1,60,0.31666666666666665,0.767
root,2,53,0.4528301886792453,0.7947169811320755
root,3,60,0.5166666666666667,0.8635
root,4,27,0.3333333333333333,0.8111111111111111
strict,1,60,0.26666666666666666,0.7266666666666667
strict,2,53,0.2641509433962264,0.6730188679245284
strict,3,60,0.36666666666666664,0.7775
strict,4,27,0.3333333333333333,0.8062962962962963
